Term	CS-MODL Count	CS-MODL Files	Enslaved-MODL Count	Enslaved-MODL Files	Total Count
residesIn	2	['Home', 'Person']	2	['neighbor', 'resident']	4
bornIn	3	['Art', 'People', 'Person']	1	['native']	4
isMarried	5	['Man', 'Mother', 'People', 'Person', 'Woman']	2	['man', 'person']	7
jobTitle	3	['Job', 'Person', 'Work']	1	['servant']	4
nationality	3	['Art', 'Man', 'Person']	1	['activist']	4
phone	1	['Person']	1	['physician']	2
playsSport	3	['Guy', 'Kid', 'Team']	1	['boy']	4
worksAt	6	['Education', 'Guy', 'Health', 'Office', 'School', 'Teacher']	8	['chef', 'doctor', 'lawyer', 'officer', 'preacher', 'scholar', 'seamstress', 'teacher']	14
worksIn	5	['Guy', 'Office', 'Teacher', 'Woman', 'Work']	7	['agent', 'chef', 'lawyer', 'physician', 'professor', 'seamstress', 'teacher']	12
hasEye	3	['Eye', 'Face', 'Head']	1	['face']	4
hasFeature	1	['Face']	1	['face']	2
hasMouth	2	['Face', 'Head']	1	['face']	3
hasNose	2	['Face', 'Head']	1	['face']	3
shape	2	['Eye', 'Face']	1	['thing']	3
hasRelationship	1	['Mother']	1	['relationship']	2
isMotherOf	3	['Mother', 'Parent', 'Woman']	1	['woman']	4
motherOf	1	['Mother']	1	['relative']	2
belongsIn	1	['Week']	1	['community']	2
consistsOf	4	['Air', 'Education', 'Government', 'Week']	1	['society']	5
hasDegree	2	['Education', 'Teacher']	1	['teacher']	3
hasExperience	3	['Program', 'Teacher', 'Team']	6	['carpenter', 'laborer', 'lawyer', 'overseer', 'seamstress', 'teacher']	9
school	3	['Child', 'Kid', 'Teacher']	1	['teacher']	4
teachesSubject	3	['Education', 'School', 'Teacher']	2	['professor', 'teacher']	5
yearsOfExperience	1	['Teacher']	1	['chef']	2
hasCategory	2	['Kind', 'Question']	2	['merchant', 'shop']	4
hasConclusion	1	['Reason']	2	['argument', 'end']	3
hasEvidence	1	['Reason']	1	['belief']	2
hasPremise	1	['Reason']	1	['argument']	2
hasPurpose	1	['Reason']	3	['mission', 'prayer', 'punishment']	4
hasReason	2	['Reason', 'War']	1	['arrest']	3
reason	1	['Reason']	1	['escape']	2
placeName	1	['Place']	1	['history']	2
genre	4	['Art', 'Book', 'Game', 'Story']	4	['book', 'novel', 'song', 'writing']	8
hasGenre	3	['Book', 'Game', 'Story']	6	['artist', 'film', 'song', 'story', 'tale', 'text']	9
hasISBN	1	['Book']	1	['isbn']	2
hasPageCount	1	['Book']	1	['paper']	2
hasPublisher	1	['Book']	1	['newspaper']	2
isbn	1	['Book']	2	['book', 'publication']	3
numberOfPages	1	['Book']	1	['novel']	2
pages	1	['Book']	1	['book']	2
publicationDate	2	['Book', 'Story']	1	['article']	3
publicationYear	2	['Book', 'Story']	2	['bibliography', 'novel']	4
publishedDate	1	['Book']	1	['writing']	2
publishedYear	1	['Book']	2	['book', 'memoir']	3
publisher	2	['Book', 'Game']	2	['press', 'publication']	4
hasOrder	1	['Month']	1	['list']	2
hasTemperature	4	['Air', 'Day', 'Night', 'Water']	3	['spring', 'star', 'water']	7
hasWeather	2	['Day', 'Night']	1	['spring']	3
hasContinent	2	['President', 'World']	1	['nation']	3
hasCountry	4	['Company', 'Lot', 'President', 'World']	5	['address', 'homeland', 'land', 'location', 'passenger']	9
hasLanguage	3	['Program', 'Word', 'World']	1	['literacy']	4
hosts	1	['World']	1	['occasion']	2
casualties	1	['War']	1	['battle']	2
endYear	1	['War']	1	['rebellion']	2
endsOn	1	['War']	1	['spring']	2
hasParticipant	1	['War']	4	['conversation', 'exchange', 'meeting', 'situation']	5
hasParticipatingCountry	1	['War']	1	['battle']	2
hasTimeframe	1	['War']	1	['success']	2
startYear	1	['War']	1	['rebellion']	2
usesWeapon	1	['War']	1	['rebel']	2
value	3	['Area', 'Money', 'Number']	1	['mean']	4
hasCaptain	1	['Team']	1	['ship']	2
role	2	['Story', 'Team']	1	['duty']	3
companyName	1	['Work']	1	['work']	2
employedBy	1	['Work']	1	['worker']	2
employeeName	3	['Company', 'Office', 'Work']	1	['work']	4
employer	2	['Job', 'Work']	1	['servant']	3
hasEmployee	4	['Business', 'Company', 'Office', 'Work']	1	['office']	5
hasFullName	3	['Company', 'Name', 'Work']	1	['individual']	4
hasJobTitle	3	['Company', 'Job', 'Work']	2	['adulthood', 'worker']	5
receives	3	['Education', 'Health', 'Work']	1	['favor']	4
worksFor	2	['Job', 'Work']	2	['editor', 'servant']	4
caseStatus	1	['Case']	1	['case']	2
hasDefendant	1	['Case']	1	['trial']	2
hasIdentifier	2	['Case', 'Law']	1	['record']	3
hasJudge	1	['Case']	3	['courthouse', 'justice', 'trial']	4
hasLawyer	1	['Case']	2	['courthouse', 'justice']	3
hasParty	1	['Case']	1	['politic']	2
judge	1	['Case']	2	['court', 'trial']	3
applies	1	['Law']	1	['drag']	2
hasArticle	1	['Law']	1	['newspaper']	2
hasCase	1	['Law']	2	['courthouse', 'trial']	3
hasCourt	1	['Law']	1	['justice']	2
hasJurisdiction	1	['Law']	1	['court']	2
hasText	2	['Law', 'Question']	1	['petition']	3
judges	1	['Law']	1	['judge']	2
represents	1	['Law']	3	['behalf', 'court', 'law']	4
diagnosedWith	1	['Health']	1	['condition']	2
hasCondition	2	['Back', 'Health']	1	['condition']	3
hasDisease	2	['Eye', 'Health']	1	['health']	3
hasHeight	4	['Chair', 'Door', 'Health', 'Sofa']	3	['baby', 'image', 'man']	7
hasPatient	1	['Health']	1	['physician']	2
hasSymptom	2	['Back', 'Health']	2	['condition', 'health']	4
hasTreatment	2	['Eye', 'Health']	2	['condition', 'health']	4
hasWeight	2	['Health', 'Part']	2	['baby', 'capacity']	4
manages	2	['Health', 'Office']	1	['construction']	3
operatesIn	2	['Business', 'Health']	1	['merchant']	3
treats	1	['Health']	1	['treatment']	2
hasBody	1	['Question']	1	['mail']	2
hasResponse	1	['Question']	2	['response', 'suffering']	3
direction	1	['Force']	1	['movement']	2
hasDirection	3	['Force', 'Line', 'Way']	1	['force']	4
hasStrength	1	['Force']	1	['belief']	2
containsOxygen	1	['Air']	1	['water']	2
hasVolume	1	['Air']	2	['capacity', 'trading']	3
temperature	2	['Air', 'Water']	1	['sea']	3
hasRating	1	['Game']	1	['reputation']	2
hasSkillLevel	1	['Game']	2	['practice', 'skill']	3
releaseDate	2	['Game', 'Program']	1	['film']	3
reviewOf	1	['Game']	1	['review']	2
courseName	2	['School', 'Student']	1	['course']	3
hasClass	1	['School']	1	['school']	2
hasTeacher	2	['Education', 'School']	2	['class', 'school']	4
teachesCourse	2	['Education', 'School']	1	['university']	3
createdOn	1	['Group']	1	['account']	2
artist	1	['Art']	1	['song']	2
createdBy	1	['Art']	2	['art', 'website']	3
hasArtist	1	['Art']	1	['painting']	2
hasCreator	2	['Art', 'Idea']	2	['image', 'statue']	4
hasMedium	2	['Art', 'Way']	3	['information', 'medium', 'painting']	5
madeOf	3	['Art', 'Door', 'Part']	2	['clothe', 'vessel']	5
endPoint	2	['Line', 'Way']	1	['line']	3
hasStart	3	['Line', 'Night', 'Way']	1	['spring']	4
startPoint	2	['Line', 'Way']	1	['line']	3
distance	1	['Way']	1	['movement']	2
from	1	['Way']	1	['escape']	2
hasDestination	1	['Way']	3	['expedition', 'passenger', 'travel']	4
takenBy	1	['Way']	1	['photo']	2
to	1	['Way']	1	['escape']	2
hasCreationDate	1	['Idea']	4	['collection', 'document', 'image', 'record']	5
hasIdea	1	['Idea']	1	['idea']	2
hasOrigin	2	['Idea', 'Word']	3	['artist', 'character', 'origin']	5
hasOriginator	1	['Idea']	2	['abolitionism', 'idea']	3
hasBirthdate	1	['Woman']	1	['autobiography']	2
hasChildren	2	['Man', 'Woman']	1	['man']	3
isWifeOf	1	['Woman']	1	['wife']	2
hasCode	1	['Program']	1	['nation']	2
hasLicense	1	['Program']	1	['lawyer']	2
isCreatedBy	1	['Program']	1	['information']	2
runsOn	1	['Program']	1	['railroad']	2
version	1	['Program']	1	['release']	2
writtenIn	1	['Program']	1	['text']	2
hasEducation	1	['Education']	1	['lawyer']	2
belongsToDomain	1	['Problem']	1	['idea']	2
hasEffect	1	['Problem']	1	['circumstance']	2
isTypeOf	1	['Problem']	2	['force', 'relationship']	3
severity	1	['Problem']	2	['damage', 'punishment']	3
established	1	['Government']	2	['cemetery', 'memorial']	3
hasBranch	1	['Government']	1	['branch']	2
hasDepartment	4	['Business', 'Company', 'Government', 'Office']	3	['fire', 'institution', 'university']	7
hasState	3	['Government', 'State', 'Water']	2	['address', 'land']	5
holdsPosition	1	['Government']	2	['authority', 'politician']	3
grantedBy	1	['Right']	2	['authority', 'manumission']	3
hasRight	1	['Right']	1	['right']	2
isProtectedBy	1	['Right']	1	['right']	2
fatherOf	2	['Father', 'Man']	1	['relative']	3
parent	1	['Child']	1	['uncle']	2
hasPet	1	['Kid']	1	['boy']	2
hasZipCode	1	['Lot']	1	['address']	2
usedIn	3	['Part', 'Water', 'Word']	1	['medium']	4
hasDefinition	1	['Word']	1	['principle']	2
hasSpelling	1	['Word']	1	['word']	2
isSynonymOf	1	['Word']	1	['word']	2
hasCharacter	2	['History', 'Story']	2	['scene', 'tale']	4
hasCharacterName	1	['Story']	1	['story']	2
hasCharacters	1	['Story']	2	['story', 'tale']	3
hasPlot	1	['Story']	2	['story', 'tale']	3
hasSetting	1	['Story']	1	['tale']	2
affects	1	['Back']	2	['damage', 'fate']	3
isLocationOf	1	['Back']	1	['coast']	2
belongsCountry	2	['President', 'State']	1	['president']	3
hasTerm	1	['President']	2	['politician', 'president']	3
servesIn	1	['President']	1	['soldier']	2
termEnd	1	['President']	1	['governor']	2
termStart	1	['President']	1	['governor']	2
hasCEO	2	['Business', 'Company']	1	['company']	3
hasDirector	1	['Company']	2	['film', 'play']	3
hasEmployeeCount	1	['Company']	1	['company']	2
hasIndustry	1	['Company']	1	['company']	2
yearEstablished	1	['Company']	1	['monument']	2
hasSkill	1	['Level']	4	['laborer', 'practice', 'seamstress', 'website']	5
hasDepth	1	['Chair']	1	['sea']	2
hasMajor	1	['Student']	1	['student']	2
hasMinor	1	['Student']	1	['student']	2
occurredAt	1	['History']	1	['assault']	2
occursIn	1	['History']	1	['circumstance']	2
participatedIn	1	['History']	1	['abolitionist']	2
hasMake	1	['Car']	1	['transportation']	2
hasModel	1	['Car']	2	['carriage', 'transportation']	3
hasEar	1	['Head']	1	['face']	2
hasPH	1	['Water']	1	['water']	2
salinity	1	['Water']	1	['sea']	2
hasSecurityLevel	1	['Door']	1	['prison']	2
hasAmount	1	['Money']	1	['aid']	2
hasDenomination	1	['Money']	2	['church', 'prayer']	3
transfers	1	['Money']	1	['power']	2
generates	1	['Business']	1	['power']	2
hasProduct	1	['Business']	3	['purchase', 'shop', 'trade']	4
hires	1	['Business']	1	['servant']	2
sells	1	['Business']	2	['merchant', 'shop']	3
serves	1	['Business']	1	['priesthood']	2
supplies	1	['Business']	1	['supply']	2
